lat,lon,low_shaking_prob,med_shaking_prob,high_shaking_prob,Liq_Class,zero_liq,low_liq,med_liq,high_liq,points,landslide,tsunami,tsunami_binned,zero_tsunami,low_tsunami,med_tsunami,high_tsunami,No_landslide,Yes_landslide
-39.48872,176.92622,0.029655543491205083,0.39583531602721156,0.5745091404815834,No,1.0,0.0,0.0,0.0,POINT (-75.81516458161082 82.9264712962198),0.0,4.1849500996242766,2.0,0,0,1,0,1,0
-39.48872,176.92822,0.03333503335082585,0.40057657054350704,0.5660883961056671,No,1.0,0.0,0.0,0.0,POINT (-75.81516459898864 82.92647129612598),0.0,3.968562070423225,2.0,0,0,1,0,1,0
-39.48872,176.93022,0.05201606950485111,0.35385188278556134,0.5941320477095875,No,1.0,0.0,0.0,0.0,POINT (-75.81516461636645 82.92647129603212),0.0,3.966030641111431,2.0,0,0,1,0,1,0
-39.48872,176.93222,0.04351497687556424,0.3895990433344625,0.5668859797899732,No,1.0,0.0,0.0,0.0,POINT (-75.81516463374427 82.9264712959383),0.0,3.95111203393412,2.0,0,0,1,0,1,0
-39.48872,176.93422,0.039421545219128454,0.40512425076931413,0.5554542040115574,No,1.0,0.0,0.0,0.0,POINT (-75.81516465112209 82.92647129584448),0.0,3.9252758941957353,2.0,0,0,1,0,1,0
-39.48872,176.93622,0.03907855247684338,0.3804340880434764,0.5804873594796802,No,1.0,0.0,0.0,0.0,POINT (-75.81516466849992 82.92647129575066),0.0,3.8923252143597367,2.0,0,0,1,0,1,0
-39.48872,176.93822,0.04137594817636909,0.40098190292616487,0.557642148897466,No,1.0,0.0,0.0,0.0,POINT (-75.81516468587773 82.92647129565684),0.0,3.8618126983218426,2.0,0,0,1,0,1,0
-39.48872,176.94022,0.03359670591192975,0.38887289678307424,0.577530397304996,No,1.0,0.0,0.0,0.0,POINT (-75.81516470325555 82.92647129556298),0.0,3.8346771501085155,2.0,0,0,1,0,1,0
-39.48672,176.79422,0.04384098616644567,0.4765912725896692,0.47956774124388507,No,1.0,0.0,0.0,0.0,POINT (-75.81516343469787 82.92647137329897),0.0,,0.0,1,0,0,0,1,0
-39.48672,176.79622,0.03366168054810855,0.4686759332413725,0.4976623862105189,No,1.0,0.0,0.0,0.0,POINT (-75.81516345207569 82.92647137320515),0.0,,0.0,1,0,0,0,1,0
-39.48672,176.79822,0.035062429793376315,0.46891738342453687,0.49602018678208687,No,1.0,0.0,0.0,0.0,POINT (-75.81516346945351 82.92647137311128),0.0,,0.0,1,0,0,0,1,0
-39.48672,176.80022,0.047644816741640776,0.4705502874951767,0.48180489576318253,No,1.0,0.0,0.0,0.0,POINT (-75.81516348683134 82.92647137301746),0.0,,0.0,1,0,0,0,1,0
-39.48672,176.80222,0.03339608578456687,0.46347141132919206,0.5031325028862411,No,1.0,0.0,0.0,0.0,POINT (-75.81516350420915 82.92647137292364),0.0,,0.0,1,0,0,0,1,0
-39.48672,176.80422,0.0439187355723882,0.46722246821542973,0.48885879621218203,No,1.0,0.0,0.0,0.0,POINT (-75.81516352158697 82.92647137282982),0.0,,0.0,1,0,0,0,1,0
-39.48672,176.80622,0.03657473694608546,0.4586642963251588,0.5047609667287557,No,1.0,0.0,0.0,0.0,POINT (-75.81516353896478 82.926471372736),0.0,,0.0,1,0,0,0,1,0
-39.48672,176.80822,0.04200565138899209,0.4620440290446807,0.4959503195663271,No,1.0,0.0,0.0,0.0,POINT (-75.8151635563426 82.92647137264214),0.0,,0.0,1,0,0,0,1,0
-39.48672,176.81022,0.036417242527118594,0.4693235248857907,0.49425923258709065,No,1.0,0.0,0.0,0.0,POINT (-75.81516357372041 82.92647137254832),0.0,,0.0,1,0,0,0,1,0
-39.48672,176.81222,0.04415139020998649,0.44866379263359657,0.507184817156417,No,1.0,0.0,0.0,0.0,POINT (-75.81516359109824 82.9264713724545),0.0,-5.5757712400514194e-43,-0.0,1,0,0,0,1,0
-39.48672,176.81422,0.04713561640658142,0.45275285502761553,0.5001115285658031,No,1.0,0.0,0.0,0.0,POINT (-75.81516360847606 82.92647137236069),0.0,-3.5488747734957334e-50,-0.0,1,0,0,0,1,0
-39.48672,176.81622,0.03931929982782873,0.4610915589272238,0.4995891412449475,No,1.0,0.0,0.0,0.0,POINT (-75.81516362585387 82.92647137226686),0.0,2.1993372687520978e-55,0.0,1,0,0,0,1,0
-39.48672,176.81822,0.04486109404873562,0.45306196187839376,0.5020769440728706,H,1.0,0.0,0.0,0.0,POINT (-75.81516364323168 82.926471372173),0.0,-1.480105141396343e-62,-0.0,1,0,0,0,1,0
-39.48672,176.82022,0.033286446975279826,0.47863941465424065,0.4880741383704795,H,1.0,0.0,0.0,0.0,POINT (-75.81516366060951 82.92647137207918),0.0,-7.497071626112342e-68,-0.0,1,0,0,0,1,0
-39.48672,176.82222,0.0422746787394382,0.46601914760244406,0.4917061736581178,H,1.0,0.0,0.0,0.0,POINT (-75.81516367798731 82.92647137198536),0.0,1.512306129153721e-74,0.0,1,0,0,0,1,0
-39.48672,176.82422,0.03911728998008939,0.45092715907286435,0.5099555509470464,H,1.0,0.0,0.0,0.0,POINT (-75.81516369536514 82.92647137189154),0.0,2.0238426882834425e-80,0.0,1,0,0,0,1,0
-39.48672,176.82622,0.03376596552451867,0.45345273630436733,0.512781298171114,H,1.0,0.0,0.0,0.0,POINT (-75.81516371274296 82.92647137179772),0.0,-6.326595308880089e-87,-0.0,1,0,0,0,1,0
-39.48672,176.82822,0.036780355581715767,0.4684696878299802,0.494749956588304,H,1.0,0.0,0.0,0.0,POINT (-75.81516373012077 82.92647137170385),0.0,-2.0979285138246198e-93,-0.0,1,0,0,0,1,0
-39.48672,176.83022,0.05045162621054708,0.4351382890476083,0.5144100847418446,H,1.0,0.0,0.0,0.0,POINT (-75.81516374749859 82.92647137161002),0.0,-1.1108536725335974e-84,-0.0,1,0,0,0,1,0
-39.48672,176.83222,0.038462101742845985,0.4507625800864153,0.5107753181707387,H,1.0,0.0,0.0,0.0,POINT (-75.8151637648764 82.92647137151621),0.0,5.059548335428375e-71,0.0,1,0,0,0,1,0
-39.48672,176.83422,0.0430077259275742,0.44044236860829794,0.5165499054641279,H,1.0,0.0,0.0,0.0,POINT (-75.81516378225422 82.92647137142239),0.0,-8.194611358495433e-57,-0.0,1,0,0,0,1,0
-39.48672,176.83622,0.04073836010702316,0.4587185942644116,0.5005430456285652,H,1.0,0.0,0.0,0.0,POINT (-75.81516379963203 82.92647137132857),0.0,1.4548644397891512e-31,0.0,1,0,0,0,1,0
-39.48672,176.83822,0.039344837142038055,0.450894181266743,0.5097609815912189,H,1.0,0.0,0.0,0.0,POINT (-75.81516381700987 82.92647137123475),0.0,-6.676125812758872e-24,-0.0,1,0,0,0,1,0
-39.48672,176.84022,0.029803577034630845,0.451410024102394,0.5187863988629752,H,1.0,0.0,0.0,0.0,POINT (-75.81516383438768 82.92647137114089),0.0,-1.2501709141639338e-20,-0.0,1,0,0,0,1,0
