OBJECTID,ROAD_PT_ID,LON_pt,LAT_pt,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,F_ELEV,T_ELEV,RD_SEG_ID,ORIG_FID,LIQ_Class,PGA_mean_log,PGA_sigma_log,BLDG_ID,BLDG_EWd,BLDG_sigmaEWd,BLDG_CLASS,BLDG_collapse_m,BLDG_collapse_b,BLDG_Dist_bld,BLDG_ID_bld,BR_CLASS,BR_logmean,BR_logsigma,LS_areaYN,LS_ID_fface,LS_Dist_fface,LS_H_fface,LS_Slope,CULV_ID,CULV_MnPGD,CULV_Y_N,RW_ID,RW_PGA,RW_sd,RW_CLASS,PGA25,PGA100,PGA500,PGA1000,PGA2500,LAN_SU_ID,LAN_LP25_max,LAN_LP100_max,LAN_LP500_max,LAN_LP1000_max,LAN_LP2500_max,LAN_RO_Vol,LAN_RO_V_1,LAN_RO_V_2,LAN_RO_V_3,LAN_RO_V_4,LAN_RO_V_5,LAN_VolCla
5885,5885,176.8750382,-39.49910662,142982807,5121,unclassified,Hamilton Place,,B,50,0,F,F,0,0,5885,5885,B,-0.939469952,0.758495803,,,,,,,999,999,,,,yes,27,67.50637267,3.724912643,3.556921008,,,,,,,,0.06887677,0.145475354,0.292439606,0.380645723,0.540426,0,0,0,0,0,0,No,No,No,No,No,No,0
5886,5886,176.8652214,-39.52853687,142982808,5122,residential,Tukes Place,,B,0,0,F,F,0,0,5886,5886,C,-0.913966416,0.748638586,,,,,,,999,999,,,,yes,140,134.6277214,4.708004951,2.858401544,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5887,5887,176.8648857,-39.52865002,142982808,5122,residential,Tukes Place,,B,0,0,F,F,0,0,5887,5887,C,-0.90146517,0.723064251,,,,,,,999,999,,,,yes,140,143.7232338,4.708004951,2.858401544,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5888,5888,176.8678287,-39.52658011,142982809,5122,residential,Ryan Crescent,,B,50,0,F,F,0,0,5888,5888,C,-0.872239537,0.714391903,,,,,,,999,999,,,,yes,142,159.7089791,4.615085602,3.613082173,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5889,5889,176.8689027,-39.52555414,142982810,5122,residential,Haskell Place,,B,50,0,F,F,0,0,5889,5889,C,-0.913552509,0.73426075,,,,,,,999,999,,,,yes,143,188.8806213,4.544598579,3.937579716,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5890,5890,176.8691691,-39.52530451,142982810,5122,residential,Haskell Place,,B,50,0,F,F,0,0,5890,5890,C,-0.913552509,0.73426075,,,,,,,999,999,,,,yes,143,195.7000167,4.544598579,3.937579716,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5891,5891,176.8629013,-39.5269078,142982811,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5891,5891,C,-0.896667521,0.744898663,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5892,5892,176.8628535,-39.52667751,142982811,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5892,5892,C,-0.896667521,0.744898663,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5893,5893,176.8718068,-39.52418291,142982812,5122,residential,Alan Styles Place,,B,50,0,F,F,0,0,5893,5893,C,-0.94587436,0.746306873,,,,,,,999,999,,,,yes,145,147.5470988,4.251621246,4.385596144,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5894,5894,176.8714003,-39.52450027,142982812,5122,residential,Alan Styles Place,,B,50,0,F,F,0,0,5894,5894,C,-0.94587436,0.746306873,,,,,,,999,999,,,,yes,145,142.5878772,4.251621246,4.385596144,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5895,5895,176.8711373,-39.5247062,142982812,5122,residential,Alan Styles Place,,B,50,0,F,F,0,0,5895,5895,C,-0.942345843,0.705853158,,,,,,,999,999,,,,yes,145,139.3275465,4.251621246,4.385596144,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5896,5896,176.8707849,-39.52558625,142982813,5122,residential,Wilkie Place,,B,50,0,F,F,0,0,5896,5896,C,-0.942345843,0.705853158,,,,,,,999,999,,,,yes,144,83.20056999,4.491241455,3.500469346,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5897,5897,176.8702948,-39.52548772,142982813,5122,residential,Wilkie Place,,B,50,0,F,F,0,0,5897,5897,C,-0.942345843,0.705853158,,,,,,,999,999,,,,yes,144,118.4437926,4.491241455,3.500469346,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5898,5898,176.8770611,-39.498668,142982816,5121,unclassified,Turner Place,,B,50,0,F,F,0,0,5898,5898,B,-0.908567324,0.738401821,,,,,,,999,999,,,,yes,26,191.0755282,3.612071037,3.556921008,,,,,,,,0.06887677,0.145475354,0.292439606,0.380645723,0.540426,0,0,0,0,0,0,No,No,No,No,No,No,0
5899,5899,176.8764837,-39.49866004,142982816,5121,unclassified,Turner Place,,B,50,0,F,F,0,0,5899,5899,B,-0.908567324,0.738401821,,,,,,,999,999,,,,yes,26,162.2369173,3.612071037,3.556921008,,,,,,,,0.06887677,0.145475354,0.292439606,0.380645723,0.540426,0,0,0,0,0,0,No,No,No,No,No,No,0
5900,5900,176.8759063,-39.49861158,142982816,5121,unclassified,Turner Place,,B,50,0,F,F,0,0,5900,5900,B,-0.908567324,0.738401821,,,,,,,999,999,,,,yes,28,135.3990447,2.995501518,3.556921008,,,,,,,,0.06887677,0.145475354,0.292439606,0.380645723,0.540426,0,0,0,0,0,0,No,No,No,No,No,No,0
5901,5901,176.8753994,-39.49856902,142982816,5121,unclassified,Turner Place,,B,50,0,F,F,0,0,5901,5901,B,-0.908567324,0.738401821,,,,,,,999,999,,,,yes,28,91.5436419,2.995501518,3.556921008,,,,,,,,0.06887677,0.145475354,0.292439606,0.380645723,0.540426,0,0,0,0,0,0,No,No,No,No,No,No,0
5902,5902,176.8773789,-39.51909883,142982817,5122,residential,Hamlin Place,,B,50,0,F,F,0,0,5902,5902,C,-0.944715191,0.707056941,,,,,,,999,999,,,,yes,502,2.893339148,4.491826057,3.793098514,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5903,5903,176.8773549,-39.51864221,142982817,5122,residential,Hamlin Place,,B,50,0,F,F,0,0,5903,5903,C,-0.944715191,0.707056941,,,,,,,999,999,,,,yes,502,2.932258393,4.491826057,3.793098514,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5904,5904,176.8773045,-39.51836462,142982817,5122,residential,Hamlin Place,,B,50,0,F,F,0,0,5904,5904,C,-0.944715191,0.707056941,,,,,,,999,999,,,,yes,501,1.120586336,4.452309608,5.558425094,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5905,5905,176.8751759,-39.51769868,142982818,5122,residential,Matai Place,,B,50,0,F,F,0,0,5905,5905,B,-0.952017968,0.768646865,,,,,,,999,999,,,,yes,500,99.81528309,4.396201134,2.285625189,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
